decklist_id,card_id,quantity,code,title,type_code,faction_code,side_code,pack_code
91088,33053,3,33053,Mestnichestvo,ice,nbn,corp,ms
91088,33056,3,33056,Vladisibirsk City Grid,upgrade,nbn,corp,ms
91088,34059,3,34059,Tree Line,ice,weyland-consortium,corp,tai
91088,34120,3,34120,The Holo Man,upgrade,nbn,corp,rwr
91088,34127,3,34127,Logjam,ice,weyland-consortium,corp,rwr
91088,35060,3,35060,Next Big Thing,agenda,nbn,corp,elev
91088,35064,3,35064,N-Pot,ice,nbn,corp,elev
91088,35081,3,35081,Petty Cash,operation,neutral-corp,corp,elev
91844,26035,2,26035,Hagen,ice,haas-bioroid,corp,df
91844,26036,3,26036,Fully Operational,operation,haas-bioroid,corp,df
91844,26037,3,26037,Red Level Clearance,operation,haas-bioroid,corp,df
91844,26044,1,26044,Saisentan,ice,jinteki,corp,df
91844,26101,2,26101,Drafter,ice,haas-bioroid,corp,ur
91844,30035,1,30035,Haas-Bioroid: Precision Design,identity,haas-bioroid,corp,sg
91844,30036,1,30036,Luminal Transubstantiation,agenda,haas-bioroid,corp,sg
91844,30042,2,30042,Manegarm Skunkworks,upgrade,haas-bioroid,corp,sg
91844,30053,3,30053,Spin Doctor,asset,nbn,corp,sg
91844,30069,2,30069,Send a Message,agenda,neutral-corp,corp,sg
91844,30075,3,30075,Hedge Fund,operation,neutral-corp,corp,sg
91844,33032,3,33032,Midnight-3 Arcology,agenda,haas-bioroid,corp,ms
91844,33061,1,33061,Maskirovka,ice,weyland-consortium,corp,ms
91844,34033,3,34033,Wage Workers,asset,haas-bioroid,corp,tai
91844,34056,3,34056,Your Digital Life,operation,nbn,corp,tai
91844,35038,2,35038,Project Ingatan,agenda,haas-bioroid,corp,elev
91844,35039,3,35039,Humanoid Resources,asset,haas-bioroid,corp,elev
91844,35042,2,35042,Scatter Field,ice,haas-bioroid,corp,elev
91844,35043,3,35043,Nanomanagement,operation,haas-bioroid,corp,elev
91844,35079,2,35079,Flyswatter,ice,neutral-corp,corp,elev
91896,26036,3,26036,Fully Operational,operation,haas-bioroid,corp,df
91896,26037,3,26037,Red Level Clearance,operation,haas-bioroid,corp,df
91896,26101,3,26101,Drafter,ice,haas-bioroid,corp,ur
91896,30035,1,30035,Haas-Bioroid: Precision Design,identity,haas-bioroid,corp,sg
91896,30036,1,30036,Luminal Transubstantiation,agenda,haas-bioroid,corp,sg
91896,30039,3,30039,Brân 1.0,ice,haas-bioroid,corp,sg
91896,30053,3,30053,Spin Doctor,asset,nbn,corp,sg
91896,30067,2,30067,Offworld Office,agenda,neutral-corp,corp,sg
91896,30069,2,30069,Send a Message,agenda,neutral-corp,corp,sg
91896,34033,3,34033,Wage Workers,asset,haas-bioroid,corp,tai
91896,34036,2,34036,M.I.C.,ice,haas-bioroid,corp,tai
91896,34044,2,34044,Tatu-Bola,ice,jinteki,corp,tai
91896,34130,2,34130,The Powers That Be,asset,neutral-corp,corp,rwr
91896,35038,3,35038,Project Ingatan,agenda,haas-bioroid,corp,elev
91896,35039,3,35039,Humanoid Resources,asset,haas-bioroid,corp,elev
91896,35042,3,35042,Scatter Field,ice,haas-bioroid,corp,elev
91896,35043,3,35043,Nanomanagement,operation,haas-bioroid,corp,elev
91896,35072,3,35072,Anthill Excavation Contract,asset,weyland-consortium,corp,elev
91301,26129,3,26129,False Lead,agenda,neutral-corp,corp,ur
