tournament_id,player,decklist_id,card_id,quantity,code,title,faction_code,side_code,type_code
5079,TheOtherKT,91780,30007,3,30007,Fermenter,anarch,runner,program
5079,TheOtherKT,91780,30022,2,30022,DZMZ Optimizer,shaper,runner,hardware
5079,TheOtherKT,91780,30024,2,30024,Conduit,shaper,runner,program
5079,TheOtherKT,91780,30025,1,30025,Echelon,shaper,runner,program
5079,TheOtherKT,91780,30026,1,30026,Unity,shaper,runner,program
5079,TheOtherKT,91780,30029,3,30029,Overclock,neutral-runner,runner,event
5079,TheOtherKT,91780,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5079,TheOtherKT,91780,33027,1,33027,Propeller,shaper,runner,program
5079,TheOtherKT,91780,33029,3,33029,Environmental Testing,shaper,runner,resource
5079,TheOtherKT,91780,33071,1,33071,Hush,anarch,runner,program
5079,TheOtherKT,91780,33092,3,33092,Dr. Nuka Vrolyck,shaper,runner,resource
5079,TheOtherKT,91780,34020,1,34020,Arissana Rocha Nahu: Street Artist,shaper,runner,identity
5079,TheOtherKT,91780,34023,2,34023,LilyPAD,shaper,runner,hardware
5079,TheOtherKT,91780,34025,1,34025,Pichação,shaper,runner,program
5079,TheOtherKT,91780,34026,1,34026,Slap Vandal,shaper,runner,program
5079,TheOtherKT,91780,34029,2,34029,Urban Art Vernissage,shaper,runner,resource
5079,TheOtherKT,91780,34030,3,34030,Bahia Bands,neutral-runner,runner,event
5079,TheOtherKT,91780,34080,1,34080,Cupellation,criminal,runner,program
5079,TheOtherKT,91780,34082,1,34082,Physarum Entangler,criminal,runner,program
5079,TheOtherKT,91780,34089,3,34089,Coalescence,shaper,runner,program
5079,TheOtherKT,91780,34091,3,34091,Muse,shaper,runner,program
5079,TheOtherKT,91780,34092,1,34092,Pressure Spike,shaper,runner,program
5079,TheOtherKT,91780,35030,1,35030,Chromatophores,shaper,runner,program
5029,Daine,91766,26019,1,26019,Lat: Ethical Freelancer,shaper,runner,identity
5029,Daine,91766,26022,2,26022,Spec Work,shaper,runner,event
5029,Daine,91766,26025,1,26025,Pelangi,shaper,runner,program
5029,Daine,91766,26027,1,26027,The Artist,shaper,runner,resource
5029,Daine,91766,26083,1,26083,Harmony AR Therapy,shaper,runner,event
